domain,https_usage,has_https_rr,rr_count,ech_present,dnssec_present,records,param_flags.mode,param_flags.alpn,param_flags.ipv4hint,param_flags.ipv6hint,param_flags.dynamic_config
colamanga.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.8.152,104.26.9.152,172.67.71.153"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:898,2606:4700:20::681a:998,2606:4700:20::ac43:4799""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
playdigo.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.16.178,172.67.215.60"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3033::ac43:d73c,2606:4700:3037::6815:10b2""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
geekwire.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.20.41.126,172.66.160.202"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:10::6814:297e,2606:4700:10::ac42:a0ca""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
freewebnovel.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.10.249,104.26.11.249,172.67.71.48"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:af9,2606:4700:20::681a:bf9,2606:4700:20::ac43:4730""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
apachehaus.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.54.133,172.67.138.207"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3033::ac43:8acf,2606:4700:3035::6815:3685""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
noor-book.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.20.31.180,172.66.167.54"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:10::6814:1fb4,2606:4700:10::ac42:a736""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
notube.lol,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.0.30,104.26.1.30,172.67.72.144"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:1e,2606:4700:20::681a:11e,2606:4700:20::ac43:4890""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
open.ac.uk,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h2"" ipv4hint=""104.18.4.62,104.18.5.62"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700::6812:43e,2606:4700::6812:53e""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
sphinx-doc.org,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.11.126,172.67.166.9"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3032::6815:b7e,2606:4700:3037::ac43:a609""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
niezalezna.pl,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.61.233,172.67.216.14"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3037::6815:3de9,2606:4700:3037::ac43:d80e""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
krstarica.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.12.174,104.26.13.174,172.67.74.154"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:cae,2606:4700:20::681a:dae,2606:4700:20::ac43:4a9a""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
commonsensemedia.org,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h2"" ipv4hint=""104.25.118.19,104.25.119.19,172.67.97.131"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::6819:7613,2606:4700:20::6819:7713,2606:4700:20::ac43:6183""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
pornogratisdiario.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.0.73,104.26.1.73,172.67.73.121"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:49,2606:4700:20::681a:149,2606:4700:20::ac43:4979""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
fngml.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h2"" ipv4hint=""104.21.22.252,172.67.208.31"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3032::ac43:d01f,2606:4700:3036::6815:16fc""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
die.net,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.0.94,104.26.1.94,172.67.69.187"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:5e,2606:4700:20::681a:15e,2606:4700:20::ac43:45bb""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
sex4arab.xxx,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.60.30,172.67.191.27"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3032::ac43:bf1b,2606:4700:3035::6815:3c1e""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
plurk.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.17.79.77,104.18.65.15"" ech=""AEX+DQBBUQAgACAkvESuEJT4vHvjJRw4lNcvk5nQiMnMCqbdICApWsaTAQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700::6811:4f4d,2606:4700::6812:410f""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
statically.io,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.20.35.99,172.66.147.148"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:10::6814:2363,2606:4700:10::ac42:9394""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
mpbreakingnews.in,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.60.123,172.67.196.72"" ech=""AEX+DQBBUQAgACAkvESuEJT4vHvjJRw4lNcvk5nQiMnMCqbdICApWsaTAQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3036::6815:3c7b,2606:4700:3037::ac43:c448""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
sacnilk.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.27.225,172.67.169.201"" ech=""AEX+DQBBUQAgACAkvESuEJT4vHvjJRw4lNcvk5nQiMnMCqbdICApWsaTAQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3032::6815:1be1,2606:4700:3035::ac43:a9c9""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
fimfiction.net,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.20.24.61,172.66.162.153"" ech=""AEX+DQBBUQAgACAkvESuEJT4vHvjJRw4lNcvk5nQiMnMCqbdICApWsaTAQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:10::6814:183d,2606:4700:10::ac42:a299""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
spiritfanfiction.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.4.96,104.26.5.96,172.67.68.149"" ech=""AEX+DQBBUQAgACAkvESuEJT4vHvjJRw4lNcvk5nQiMnMCqbdICApWsaTAQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:460,2606:4700:20::681a:560,2606:4700:20::ac43:4495""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
