domain,https_usage,has_https_rr,rr_count,ech_present,dnssec_present,records,param_flags.mode,param_flags.alpn,param_flags.ipv4hint,param_flags.ipv6hint,param_flags.dynamic_config
sciencemag.org,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.18.41.243,172.64.146.13"" ech=""AEX+DQBBTgAgACDgjbk5yfc8TCPlqmK8qQK0P9wxbLnT6ZcGwl3v2OrKFAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=""', 'priority': 1, 'target': '.'}]",Service,True,True,False,True
wpguardian.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.87.126,172.67.143.79"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3032::6815:577e,2606:4700:3033::ac43:8f4f""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
aznude.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.18.51.6,104.18.53.42"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3112::6812:352a,2606:4700:311c::6812:3306""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
arabsex.to,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.8.80,104.26.9.80,172.67.70.232"" ech=""AEX+DQBBGgAgACClPo4T0YplcS4Top9Gw1apvlH3jmVnAc9TZOqYaoKKawAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:850,2606:4700:20::681a:950,2606:4700:20::ac43:46e8""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
52shuku.vip,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.87.201,172.67.145.240"" ech=""AEX+DQBBTgAgACDgjbk5yfc8TCPlqmK8qQK0P9wxbLnT6ZcGwl3v2OrKFAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3033::ac43:91f0,2606:4700:3035::6815:57c9""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
missav.live,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.6.107,104.26.7.107,172.67.72.106"" ech=""AEX+DQBBTgAgACDgjbk5yfc8TCPlqmK8qQK0P9wxbLnT6ZcGwl3v2OrKFAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:66b,2606:4700:20::681a:76b,2606:4700:20::ac43:486a""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
onlar.az,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.72.112,172.67.182.246"" ech=""AEX+DQBBTgAgACDgjbk5yfc8TCPlqmK8qQK0P9wxbLnT6ZcGwl3v2OrKFAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3036::6815:4870,2606:4700:3037::ac43:b6f6""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
52shuku.net,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.70.19,172.67.217.238"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3032::6815:4613,2606:4700:3037::ac43:d9ee""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
transmissionbt.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.27.40,172.67.168.226"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3031::6815:1b28,2606:4700:3035::ac43:a8e2""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
freetype.org,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.49.238,172.67.195.212"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3033::6815:31ee,2606:4700:3034::ac43:c3d4""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
